url,tag,book,count,,sorted,sorted count,%,position,!= lists total
https://www.npr.org/sections/money/2011/01/11/132649042/must-read-economics,strong,lords_of_finance.,1,,economic_emergence_of_women,1,"2,86%",,
http://www.listmuse.com/100-best-economics-books-time.php,a,machine_dreams_economics_becomes_a_cyborg_science,1,,economic_growth_second_edition,1,"2,86%",,
http://www.abg-analytics.com/economics-books.shtml,strong,macroeconomics,2,,economic_history_of_the_ussr,1,"2,86%",,
http://www.abg-analytics.com/economics-books.shtml,strong,macroeconomics,2,,economic_philosophy,1,"2,86%",,
https://blog.bettertrader.co/2018/08/20/what-are-some-good-books-in-economics-for-beginners/,b,macroeconomics_(pearson_series_in_economics)_by_daron_acemoglu_david_laibson_and_john_list.,1,,economics,1,"2,86%",,
http://www.listmuse.com/100-best-economics-books-time.php,a,mad_money_when_markets_outgrow_governments,1,,economics_–_3rd_edition_by_r._glenn_hubbard_and_anthony_p_o’brien_(2009),1,"2,86%",,
https://fintrakk.com/best-economics-books-of-all-time-top-list/,strong,makers_and_takers,1,,economics_and_reality,1,"2,86%",,
https://filmlifestyle.com/best-economics-books/,h2,makers_and_takers_the_rise_of_finance_and_the_fall_of_american_business,2,,economics_and_world_history_myths_and_paradoxes,1,"2,86%",,
https://www.wallstreetmojo.com/top-best-economics-books/,h3,makers_and_takers_the_rise_of_finance_and_the_fall_of_american_business,2,,economics_book_(big_ideas),1,"2,86%",,
https://www.learn4good.com/bookstore/economics_books_cds.htm,strong,managerial_economics_business_strategy_w/data_disk_by_michael_baye_hardcover_publisher_mcgrawhill/irwin,1,,economics_by_campbell_mcconnell_and_stanley_brue_–_17th_edition_(2006),1,"2,86%",,
http://www.abg-analytics.com/economics-books.shtml,strong,managerial_economics_economic_tools_for_todays_decision_makers,1,,economics_by_roger_a._arnold_–_9th_edition_(2008),1,"2,86%",,
http://www.listmuse.com/100-best-economics-books-time.php,a,manfacturing_miracles__paths_of_industrialization_in_latin_america_and_east_asia,1,,economics_for_the_common_good,1,"2,86%",,
http://www.listmuse.com/100-best-economics-books-time.php,a,manias_panics_and_crashes_a_history_of_financial_crises,1,,economics_of_climate_change,1,"2,86%",,
http://www.listmuse.com/100-best-economics-books-time.php,a,marshall_plan_america_britain_and_the_reconstruction_of_western_europe,1,,economics_of_money,1,"2,86%",,
